elden ring,92,souls like,dark fantasy,rpg,open world,difficult,action rpg,third person,fantasy,multiplayer,singleplayer,online co op,action,pvp,co op,violent,atmospheric,great soundtrack,3d,character customization,family friendly 
stardew valley,98,farming sim,life sim,pixel graphics,multiplayer,rpg,relaxing,agriculture,simulation,crafting,sandbox,indie,building,singleplayer,casual,open world,2d,cute,great soundtrack,dating sim,fishing 
ark survival evolved,83,open world survival craft,survival,multiplayer,open world,dinosaurs,crafting,building,adventure,base building,co op,action,first person,sandbox,massively multiplayer,singleplayer,early access,rpg,dragons,sci fi,indie 
dead by daylight,80,horror,survival horror,multiplayer,online co op,co op,survival,gore,team based,blood,stealth,third person,violent,first person,psychological horror,action,atmospheric,strategy,comedy,mature,difficult 
euro truck simulator 2,97,driving,transportation,simulation,open world,automobile sim,realistic,moddable,relaxing,exploration,immersive sim,economy,management,atmospheric,multiplayer,controller,family friendly,third person,adventure,casual,indie 
phasmophobia,96,horror,online co op,multiplayer,psychological horror,co op,vr,supernatural,first person,investigation,dark,mystery,demons,detective,early access,3d,thriller,indie,action,tactical,lovecraftian 
the forest,95,open world survival craft,survival,open world,horror,crafting,adventure,building,survival horror,first person,action,exploration,sandbox,atmospheric,singleplayer,simulation,gore,realistic,indie,early access,zombies 
payday 2,89,co op,action,fps,heist,looter shooter,multiplayer,online co op,stealth,crime,shooter,team based,first person,great soundtrack,gun customization,tactical,pve,strategy,singleplayer,funny,simulation 
red dead redemption 2,90,open world,story rich,western,adventure,action,multiplayer,realistic,singleplayer,shooter,atmospheric,horses,beautiful,third person shooter,mature,great soundtrack,third person,sandbox,gore,first person,fps 
fall guys ultimate knockout,68,44 ,multiplayer,party game,family friendly,battle royale,massively multiplayer,platformer,cute,funny,pvp,3d platformer,controller,casual,colorful,action,online co op,co op,comedy,physics,indie,difficult 
valheim,95,open world survival craft,survival,online co op,open world,multiplayer,building,crafting,exploration,base building,co op,sandbox,adventure,mythology,rpg,early access,action,pve,indie,singleplayer,third person 
rocket leagueâ,89,13 ,football soccer,multiplayer,competitive,sports,racing,football american,team based,online co op,fast paced,co op,action,funny,great soundtrack,local multiplayer,split screen,local co op,singleplayer,4 player local,casual,indie 
dayz,74,survival,zombies,multiplayer,open world,action,pvp,shooter,massively multiplayer,horror,post apocalyptic,simulation,fps,early access,first person,survival horror,sandbox,adventure,co op,atmospheric,indie 
portal 2,98,platformer,puzzle,dark humor,first person,story rich,puzzle platformer,funny,female protagonist,3d platformer,action adventure,action,fps,co op,physics,sci fi,level editor,science,comedy,atmospheric,adventure 
dying light,95,zombies,survival horror,horror,online co op,open world,parkour,first person,survival,open world survival craft,gore,fps,action,pve,pvp,stealth,post apocalyptic,story rich,hack and slash,action rpg,rpg 
dont starve together,95,survival,open world survival craft,multiplayer,co op,open world,adventure,crafting,online co op,sandbox,difficult,indie,2d,atmospheric,funny,survival horror,strategy,horror,singleplayer,action,roguelike 
hollow knight,97,metroidvania,souls like,platformer,great soundtrack,difficult,2d,indie,atmospheric,singleplayer,exploration,adventure,story rich,hand drawn,action,multiple endings,dark fantasy,open world,cute,controller,side scroller 
sea of thieves 2023 edition,90,multiplayer,adventure,open world,pirates,co op,online co op,action,pvp,sailing,first person,exploration,naval,funny,pve,massively multiplayer,atmospheric,fps,swordplay,great soundtrack,singleplayer 
raft,93,survival,open world survival craft,multiplayer,co op,crafting,open world,building,base building,online co op,adventure,sandbox,first person,singleplayer,early access,underwater,simulation,action,indie,strategy,massively multiplayer 
bloons td 6,97,tower defense,strategy,multiplayer,singleplayer,co op,online co op,family friendly,casual,3d,cartoony,sandbox,great soundtrack,difficult,funny,cute,survival,action,indie,2d,adventure 
monster hunter world,87,co op,multiplayer,action,open world,rpg,third person,character customization,adventure,fantasy,difficult,singleplayer,action rpg,exploration,great soundtrack,replay value,atmospheric,hack and slash,jrpg,souls like,mmorpg 
call of dutyâ modern warfareâ ii,57,fps,multiplayer,action,shooter,singleplayer,military,first person,war,modern,tactical,violent,co op,realistic,story rich,atmospheric,mature,online co op,gore,third person shooter,third person 
geometry dash,93,difficult,music,great soundtrack,precision platformer,level editor,rhythm,2d,colorful,singleplayer,platformer,character customization,arcade,indie,side scroller,action,funny,family friendly,casual,strategy,adventure 
dark soulsâ iii,94,souls like,dark fantasy,difficult,rpg,atmospheric,lore rich,third person,exploration,story rich,action rpg,co op,great soundtrack,adventure,action,pvp,multiplayer,open world,singleplayer,character customization,replay value 
the binding of isaac rebirth,97,action roguelike,roguelike,indie,replay value,difficult,pixel graphics,dungeon crawler,great soundtrack,singleplayer,dark,2d,remake,local co op,gore,procedural generation,roguelite,atmospheric,action,co op,horror 
new world,70,massively multiplayer,open world,mmorpg,rpg,adventure,action,pvp,pve,multiplayer,walking simulator,fantasy,character customization,crafting,third person,co op,open world survival craft,sandbox,violent,sexual content,singleplayer 
subnautica,96,open world survival craft,survival,open world,horror,exploration,underwater,crafting,base building,singleplayer,adventure,first person,sci fi,sandbox,aliens,atmospheric,survival horror,multiplayer,action,indie,early access 
hades,98,action roguelike,hack and slash,roguelite,indie,action,mythology,roguelike,rpg,great soundtrack,singleplayer,story rich,dungeon crawler,replay value,isometric,difficult,action rpg,hand drawn,atmospheric,perma death,souls like 
no mans sky,76,open world,open world survival craft,space,exploration,sci fi,survival,procedural generation,adventure,first person,sandbox,singleplayer,multiplayer,atmospheric,crafting,space sim,indie,action,simulation,fps,vr 
z1 battle royale,55,survival,massively multiplayer,multiplayer,open world,battle royale,pvp,fps,action,shooter,free to play,third person shooter,zombies,co op,early access,online co op,adventure,first person,violent,gore,walking simulator 
fallout 4,83,open world,post apocalyptic,singleplayer,exploration,rpg,adventure,atmospheric,shooter,first person,story rich,action,sci fi,fps,action rpg,sandbox,great soundtrack,third person,survival,third person shooter,character customization 
sid meierâs civilizationâ vi,85,strategy,turn based strategy,multiplayer,historical,singleplayer,grand strategy,turn based,4x,war,simulation,city builder,tactical,building,management,great soundtrack,moddable,online co op,co op,hex grid,atmospheric 
vampire survivors,98,action roguelike,bullet hell,pixel graphics,roguelite,2d,indie,singleplayer,vampire,casual,action,arcade,rpg,controller,retro,score attack,roguelike,action rpg,dark fantasy,early access,1980s 
halo the master chief collection,92,great soundtrack,fps,classic,multiplayer,sci fi,story rich,co op,first person,epic,action,shooter,singleplayer,aliens,lore rich,beautiful,space,atmospheric,adventure,horror,online co op 
people playground,98,sandbox,physics,gore,blood,violent,moddable,2d,singleplayer,destruction,simulation,funny,building,pixel graphics,psychological horror,indie,casual,action,horror,comedy,choose your own adventure 
7 days to die,88,survival,zombies,open world,multiplayer,open world survival craft,voxel,post apocalyptic,base building,online co op,exploration,building,sandbox,simulation,fps,strategy,character customization,action,tower defense,procedural generation,early access 
é¼èåè tale of immortal,52,tactical rpg,management,singleplayer,mythology,sandbox,simulation,rpg,choose your own adventure,dating sim,action,adventure,exploration,2d,sexual content,fantasy,action rpg,action adventure,hand drawn,story rich,strategy rpg 
borderlands 2,95,loot,shooter,action,multiplayer,co op,looter shooter,fps,rpg,first person,funny,comedy,open world,combat,online co op,adventure,action rpg,dark humor,singleplayer,memes,sci fi 
deep rock galactic,97,co op,pve,fps,exploration,procedural generation,shooter,loot,class based,first person,sci fi,space,action,looter shooter,atmospheric,combat,horror,survival,action roguelike,dark,open world 
undertale,96,great soundtrack,story rich,choices matter,multiple endings,pixel graphics,funny,rpg,singleplayer,indie,comedy,2d,replay value,bullet hell,cute,memes,retro,dark,psychological horror,dating sim,horror 
mount  blade ii bannerlord,87,medieval,strategy,open world,rpg,war,sandbox,multiplayer,singleplayer,action,character customization,simulation,moddable,adventure,horses,realistic,third person,first person,historical,great soundtrack,early access 
cities skylines,93,city builder,simulation,building,management,strategy,sandbox,singleplayer,moddable,economy,resource management,mod,realistic,replay value,casual,modern,real time with pause,family friendly,great soundtrack,funny,action 
forza horizon 4,89,racing,open world,driving,multiplayer,automobile sim,online co op,realistic,singleplayer,controller,adventure,arcade,pvp,simulation,exploration,sports,action,atmospheric,great soundtrack,first person,funny 
sekiroâ shadows die twice  goty edition,94,souls like,difficult,action,singleplayer,ninja,stealth,adventure,third person,open world,story rich,violent,atmospheric,assassin,dark fantasy,hack and slash,rpg,gore,great soundtrack,dark,rhythm 
hearts of iron iv,92,strategy,world war ii,grand strategy,war,historical,military,alternate history,multiplayer,simulation,tactical,real time with pause,singleplayer,rts,diplomacy,sandbox,co op,competitive,strategy rpg,open world,action 
beamngdrive,97,simulation,driving,physics,destruction,realistic,automobile sim,open world,sandbox,racing,moddable,singleplayer,multiplayer,early access,first person,third person,exploration,funny,action,adventure,flight 
project zomboid,94,survival,zombies,open world,open world survival craft,multiplayer,sandbox,post apocalyptic,co op,crafting,indie,simulation,building,rpg,survival horror,realistic,isometric,singleplayer,2d,early access,adventure 
risk of rain 2,96,third person shooter,action roguelike,multiplayer,action,co op,roguelite,looter shooter,roguelike,loot,online co op,shooter,difficult,third person,indie,survival,singleplayer,great soundtrack,soundtrack,early access,bullet hell 
life is strange  episode 1,96,story rich,choices matter,great soundtrack,female protagonist,time travel,atmospheric,episodic,singleplayer,adventure,time manipulation,multiple endings,mystery,third person,point  click,indie,walking simulator,casual,action,memes,lgbtq 
arma 3,91,military,action,multiplayer,simulation,shooter,realistic,first person,open world,tactical,fps,war,co op,strategy,sandbox,singleplayer,moddable,combat,online co op,team based,third person shooter 
hogwarts legacy,92,magic,fantasy,open world,singleplayer,adventure,rpg,character customization,exploration,story rich,third person,action adventure,atmospheric,action rpg,action,combat,choices matter,puzzle,great soundtrack,dark,family friendly 
doom eternal,91,action,fps,great soundtrack,gore,fast paced,violent,demons,shooter,first person,singleplayer,blood,multiplayer,sci fi,post apocalyptic,mature,atmospheric,story rich,adventure,difficult,horror 
battlefieldâ 2042,39,fps,military,shooter,war,multiplayer,action,combat,team based,first person,pvp,futuristic,vehicular combat,modern,destruction,singleplayer,physics,cinematic,adventure,hero shooter,casual 
titanfallâ 2,94,fps,multiplayer,mechs,shooter,action,singleplayer,parkour,sci fi,first person,futuristic,pvp,combat,military,fast paced,dating sim,team based,time travel,hero shooter,violent,co op 
naraka bladepoint,74,battle royale,multiplayer,martial arts,pvp,action,female protagonist,survival,third person,character customization,hack and slash,massively multiplayer,fighting,swordplay,parkour,adventure,anime,mature,violent,gore,free to play 
fallout new vegas,96,open world,rpg,post apocalyptic,singleplayer,moddable,story rich,exploration,first person,action,adventure,fps,sci fi,western,atmospheric,action rpg,character customization,survival,sandbox,shooter,third person 
divinity original sin 2  definitive edition,95,tactical rpg,rpg,turn based strategy,story rich,fantasy,exploration,crpg,party based rpg,character customization,strategy rpg,pvp,female protagonist,co op campaign,local co op,isometric,choices matter,romance,strategy,moddable,funny 
human fall flat,94,co op,funny,puzzle,adventure,physics,sandbox,action,puzzle platformer,open world,multiplayer,local co op,indie,comedy,parkour,local multiplayer,casual,split screen,3d platformer,singleplayer,simulation 
battlefieldâ v,70,fps,world war ii,multiplayer,shooter,singleplayer,war,military,first person,pvp,combat,massively multiplayer,open world,action,historical,destruction,battle royale,atmospheric,violent,sexual content,female protagonist 
rimworld,98,colony sim,base building,survival,strategy,sandbox,management,building,simulation,singleplayer,city builder,moddable,open world,procedural generation,2d,sci fi,indie,space,tactical rpg,western,cartoony 
counterstrike,97,action,fps,multiplayer,shooter,classic,team based,first person,competitive,tactical,1990s,esports,pvp,old school,military,strategy,survival,score attack,1980s,assassin,nostalgia 
tomb raider,96,adventure,action,female protagonist,third person,singleplayer,story rich,third person shooter,multiplayer,exploration,action adventure,quick time events,atmospheric,shooter,puzzle,stealth,cinematic,platformer,rpg,reboot,3d vision 
the elder scrolls v skyrim special edition,94,open world,rpg,adventure,singleplayer,fantasy,character customization,dragons,moddable,story rich,magic,first person,action,atmospheric,great soundtrack,third person,stealth,classic,remake,female protagonist,walking simulator 
hunt showdown,83,open world,tactical,atmospheric,multiplayer,fps,perma death,shooter,pvp,survival horror,horror,difficult,online co op,western,co op,battle royale,team based,action,gore,zombies,first person 
factorio,96,automation,base building,resource management,sandbox,crafting,strategy,multiplayer,survival,management,open world,building,co op,2d,moddable,singleplayer,trains,simulation,pixel graphics,city builder,indie 
halflife 2,97,fps,action,sci fi,classic,singleplayer,story rich,shooter,first person,adventure,dystopian,atmospheric,zombies,silent protagonist,physics,aliens,great soundtrack,horror,puzzle,multiplayer,moddable 
far cryâ 5,80,action adventure,open world,fps,exploration,shooter,realistic,america,hunting,first person,3d,story rich,action,adventure,stealth,co op,nature,atmospheric,survival,psychedelic,combat 
assassins creedâ odyssey,89,open world,rpg,historical,action,singleplayer,assassin,third person,adventure,multiple endings,mythology,stealth,story rich,female protagonist,parkour,choices matter,action rpg,exploration,action adventure,multiplayer,choose your own adventure 
cuphead,96,difficult,cartoon,co op,platformer,great soundtrack,local co op,2d,hand drawn,multiplayer,indie,retro,cartoony,bullet hell,action,shoot em up,singleplayer,side scroller,colorful,funny,atmospheric 
sons of the forest,83,survival,open world,multiplayer,survival horror,co op,base building,crafting,horror,first person,exploration,adventure,building,singleplayer,atmospheric,action adventure,sandbox,action,simulation,early access,immersive sim 
forza horizon 5,88,racing,open world,driving,multiplayer,automobile sim,adventure,realistic,simulation,exploration,arcade,first person,atmospheric,sports,co op,pvp,online co op,singleplayer,beautiful,action,third person 
doom,95,fps,gore,action,shooter,demons,great soundtrack,first person,fast paced,singleplayer,multiplayer,sci fi,horror,atmospheric,classic,blood,difficult,remake,zombies,co op,violent 
mount  blade warband,97,medieval,rpg,open world,strategy,sandbox,multiplayer,action,moddable,military,adventure,horses,singleplayer,realistic,first person,historical,third person,simulation,hack and slash,fantasy,indie 
satisfactory,97,base building,automation,open world,multiplayer,crafting,co op,resource management,building,sandbox,exploration,adventure,early access,open world survival craft,simulation,survival,strategy,first person,sci fi,singleplayer,indie 
sid meiers civilizationâ v,96,turn based strategy,strategy,turn based,multiplayer,historical,4x,addictive,singleplayer,hex grid,grand strategy,replay value,co op,tactical,economy,diplomacy,moddable,simulation,classic,great soundtrack,touch friendly 
dead cells,97,adventure,action roguelike,pixel graphics,metroidvania,2d,souls like,roguelike,replay value,hack and slash,roguelite,platformer,singleplayer,roguevania,action,difficult,atmospheric,dark fantasy,procedural generation,funny,indie 
portal,98,puzzle,puzzle platformer,first person,3d platformer,singleplayer,sci fi,comedy,female protagonist,funny,physics,action,story rich,classic,platformer,science,atmospheric,fps,dark humor,short,adventure 
slay the spire,97,roguelike deckbuilder,card game,card battler,roguelike,deckbuilding,turn based,strategy,singleplayer,roguelite,replay value,indie,difficult,dungeon crawler,rpg,mouse only,great soundtrack,2d,procedural generation,fantasy,casual 
thehunter call of the wildâ,88,hunting,open world,multiplayer,simulation,first person,shooter,survival,realistic,co op,adventure,fps,action,singleplayer,walking simulator,online co op,atmospheric,sports,combat,strategy,gore 
mirror 2 project x,25,3d,match 3,anime,female protagonist,drama,visual novel,interactive fiction,singleplayer,multiple endings,rpg,fps,casual,colorful,story rich,fmv,adventure,early access,indie,3d platformer,shooter 
age of empires ii definitive edition,94,strategy,rts,city builder,multiplayer,base building,historical,medieval,singleplayer,resource management,classic,tactical,real time,remake,co op,isometric,replay value,2d,action,adventure,great soundtrack 
the elder scrollsâ online,83,rpg,mmorpg,open world,adventure,fantasy,exploration,multiplayer,singleplayer,massively multiplayer,action,pvp,character customization,pve,lore rich,choose your own adventure,story rich,magic,class based,action rpg,atmospheric 
it takes two,95,co op,multiplayer,split screen,local co op,puzzle,adventure,online co op,story rich,local multiplayer,co op campaign,puzzle platformer,3d platformer,action adventure,platformer,emotional,action,atmospheric,exploration,female protagonist,minigames 
star wars jedi fallen orderâ,89,action adventure,third person,souls like,swordplay,story rich,open world,exploration,platformer,action,sci fi,space,rpg,metroidvania,fighting,puzzle,adventure,fantasy,hack and slash,atmospheric,family friendly 
grand theft auto iv the complete edition,80,open world,action,automobile sim,multiplayer,crime,third person,adventure,singleplayer,third person shooter,sandbox,moddable,shooter,physics,atmospheric,classic,funny,dark humor,gore,co op,satire 
dying light 2 stay human,79,co op,open world,zombies,parkour,multiplayer,exploration,horror,combat,gore,action rpg,first person,post apocalyptic,survival,singleplayer,adventure,action adventure,action,violent,multiple endings,choices matter 
darkest dungeonâ,91,turn based combat,dark fantasy,dungeon crawler,roguelike,rpg,lovecraftian,difficult,turn based,singleplayer,perma death,strategy,atmospheric,dark,indie,2d,roguelite,horror,gothic,fantasy,kickstarter
